cohort,h5,pheno
BCC_GSE123813_aPD1,BCC_GSE123813_aPD1_expression,BCC_GSE123813_aPD1_CellMetainfo_table.tsv
BLCA_GSE149652,BLCA_GSE149652_expression,BLCA_GSE149652_CellMetainfo_table.tsv
BRCA_GSE110686,BRCA_GSE110686_expression,BRCA_GSE110686_CellMetainfo_table.tsv
BRCA_GSE114727_10X,BRCA_GSE114727_10X_expression,BRCA_GSE114727_10X_CellMetainfo_table.tsv
CRC_GSE108989,CRC_GSE108989_expression,CRC_GSE108989_CellMetainfo_table.tsv
CRC_GSE139555,CRC_GSE139555_expression,CRC_GSE139555_CellMetainfo_table.tsv
CRC_GSE146771_Smartseq2,CRC_GSE146771_Smartseq2_expression,CRC_GSE146771_Smartseq2_CellMetainfo_table.tsv
ESCA_GSE160269,ESCA_GSE160269_expression,ESCA_GSE160269_CellMetainfo_table.tsv
Glioma_GSE163108_10X,Glioma_GSE163108_10X_expression,Glioma_GSE163108_10X_CellMetainfo_table.tsv
Glioma_GSE163108_Smartseq2,Glioma_GSE163108_Smartseq2_expression,Glioma_GSE163108_Smartseq2_CellMetainfo_table.tsv
HNSC_GSE139324,HNSC_GSE139324_expression,HNSC_GSE139324_CellMetainfo_table.tsv
KIRC_GSE111360,KIRC_GSE111360_expression,KIRC_GSE111360_CellMetainfo_table.tsv
KIRC_GSE121636,KIRC_GSE121636_expression,KIRC_GSE121636_CellMetainfo_table.tsv
LIHC_GSE98638,LIHC_GSE98638_expression,LIHC_GSE98638_CellMetainfo_table.tsv
LIHC_GSE140228_10X,LIHC_GSE140228_10X_expression,LIHC_GSE140228_10X_CellMetainfo_table.tsv
LIHC_GSE166635,LIHC_GSE166635_expression,LIHC_GSE166635_CellMetainfo_table.tsv
LSCC_GSE150321,LSCC_GSE150321_expression,LSCC_GSE150321_CellMetainfo_table.tsv
NPC_GSE150430,NPC_GSE150430_expression,NPC_GSE150430_CellMetainfo_table.tsv
NPC_GSE162025,NPC_GSE162025_expression,NPC_GSE162025_CellMetainfo_table.tsv
NSCLC_EMTAB6149,NSCLC_EMTAB6149_expression,NSCLC_EMTAB6149_CellMetainfo_table.tsv
NSCLC_GSE99254,NSCLC_GSE99254_expression,NSCLC_GSE99254_CellMetainfo_table.tsv
NSCLC_GSE139555,NSCLC_GSE139555_expression,NSCLC_GSE139555_CellMetainfo_table.tsv
NSCLC_GSE146100,NSCLC_GSE146100_expression,NSCLC_GSE146100_CellMetainfo_table.tsv
NSCLC_GSE151537,NSCLC_GSE151537_expression,NSCLC_GSE151537_CellMetainfo_table.tsv
NSCLC_GSE162498,NSCLC_GSE162498_expression,NSCLC_GSE162498_CellMetainfo_table.tsv
NSCLC_GSE176021_aPD1,NSCLC_GSE176021_aPD1_expression,NSCLC_GSE176021_aPD1_CellMetainfo_table.tsv
OSCC_GSE172577,OSCC_GSE172577_expression,OSCC_GSE172577_CellMetainfo_table.tsv
PRAD_GSE176031,PRAD_GSE176031_expression,PRAD_GSE176031_CellMetainfo_table.tsv
SCC_GSE123813_aPD1,SCC_GSE123813_aPD1_expression,SCC_GSE123813_aPD1_CellMetainfo_table.tsv
SKCM_GSE120575_aPD1aCTLA4,SKCM_GSE120575_aPD1aCTLA4_expression,SKCM_GSE120575_aPD1aCTLA4_CellMetainfo_table.tsv
SKCM_GSE148190,SKCM_GSE148190_expression,SKCM_GSE148190_CellMetainfo_table.tsv
UCEC_GSE139555,UCEC_GSE139555_expression,UCEC_GSE139555_CellMetainfo_table.tsv
